cash_on_hand_thousand_usd,value,pdf_x_pt,pdf_y_pt,drawing_index
18.363976783461183,1.000619236425266,111.47500610351562,67.47677612304688,11
19.265632831713262,1.000619236425266,112.25701141357422,67.47677612304688,12
20.166699499042252,1.000619236425266,113.03850555419922,67.47677612304688,13
21.517446217206853,1.000619236425266,114.21000671386719,67.47677612304688,14
22.418521681266057,1.000619236425266,114.99150848388672,67.47677612304688,15
23.319016561132386,1.000619236425266,115.77250671386719,67.47677612304688,16
23.99468461067623,1.0006216244724122,116.35851287841797,67.47650146484375,17
24.446080023899825,0.9849884064983649,116.75000762939453,69.2745361328125,18
24.896331862198096,0.9693642100357592,117.14051055908203,71.071533203125,19
25.121457781347218,0.9537315227388556,117.33576202392578,72.8695068359375,20
25.347164284689214,0.9328902392772731,117.5315170288086,75.26654052734375,22
25.347164284689214,0.9485234572513204,117.5315170288086,73.468505859375,21
25.79683553879461,0.8860001375437165,117.92151641845703,80.6595458984375,25
25.79683553879461,0.9016333555177638,117.92151641845703,78.86151123046875,24
25.79683553879461,0.9172575519803694,117.92151641845703,77.06451416015625,23
26.247650367825358,0.8521307302061416,118.31250762939453,84.55499267578125,27
26.247650367825358,0.8703674502468128,118.31250762939453,82.45751953125,26
26.472195702781633,0.8338892340711778,118.50725555419922,86.65301513671875,28
26.697321621930755,0.8026365957288174,118.70250701904297,90.24749755859375,30
26.697321621930755,0.8182607921914231,118.70250701904297,88.45050048828125,29
27.1481540444219,0.7791870341063183,119.09351348876953,92.94451904296875,32
27.1481540444219,0.7870033777547701,119.09351348876953,92.0455322265625,31
27.373266768475716,0.7635543468094147,119.28875350952148,94.74249267578125,33
27.598388289259773,0.7322969323727617,119.48400115966797,98.3375244140625,35
27.598388289259773,0.7479296196696653,119.48400115966797,96.53955078125,34
28.048640127558016,0.7088473707502626,119.87450408935547,101.0345458984375,37
28.048640127558016,0.716664245075858,119.87450408935547,100.135498046875,36
28.499472550049163,0.6775904869907533,120.26551055908203,104.6295166015625,39
28.499472550049163,0.6932146834533589,120.26551055908203,102.83251953125,38
28.95030497254028,0.6593489908557894,120.6565170288086,106.7275390625,41
28.95030497254028,0.661948778182408,120.6565170288086,106.42852783203125,40
29.400539217378153,0.6437163035588858,121.04700469970703,108.5255126953125,42
29.850791055676424,0.6280830855848385,121.43750762939453,110.32354736328125,43
30.30162347816757,0.6202757634478283,121.8285140991211,111.22149658203125,44
30.75243830719829,0.604642545473781,122.2195053100586,113.01953125,45
31.20269014549656,0.5890098581768773,122.6100082397461,114.8175048828125,46
31.20269014549656,0.5890098581768773,122.6100082397461,114.8175048828125,47
31.652941983794832,0.57337664020283,123.0005111694336,116.61553955078125,48
32.10261323790023,0.5590523374035337,123.39051055908203,118.26303100585938,49
32.10261323790023,0.5603564764839921,123.39051055908203,118.113037109375,50
32.5528650761985,0.5447280346042374,123.78101348876953,119.9105224609375,51
33.004260489422094,0.5290953473073337,124.1725082397461,121.70849609375,52
33.004260489422094,0.5290953473073337,124.1725082397461,121.70849609375,53
33.679633848504395,0.5134621293332864,124.75825881958008,123.50653076171875,54
34.130167182168904,0.5108538511723699,125.14900588989258,123.8065185546875,55
34.8064114175405,0.4952296547097641,125.73551177978516,125.603515625,56
35.2560826716459,0.49001309838793095,126.1255111694336,126.2034912109375,57
35.93202341982577,0.4743841258310326,126.71175384521484,128.00103759765625,58
36.38227525812404,0.46917606034349735,127.10225677490234,128.60003662109375,59
37.28334632381812,0.4587556839512781,127.88375473022461,129.79852294921875,60
38.1841314957809,0.4509393403028261,128.6650047302246,130.697509765625,61
38.860366934422316,0.4353103677459278,129.25150299072266,132.49505615234375,62
39.53545439977326,0.4300980568412436,129.83700561523438,133.09454345703125,63
40.43624397010113,0.4196776804490243,130.61825942993164,134.29302978515625,64
41.33760092952657,0.4092573040568048,131.40000534057617,135.49151611328125,65
42.23838170312423,0.39883215157029284,132.1812515258789,136.6905517578125,66
43.138885379720776,0.3910203186775618,132.9622573852539,137.58901977539062,67
44.49107036327224,0.38060418770249127,134.13500595092773,138.78701782226562,68
45.39156084477348,0.3701771778459766,134.91600036621094,139.98626708984375,69
46.292064521369994,0.3701750551374021,135.69700622558594,139.98651123046875,70
47.19371617125698,0.3597589241623316,136.47900772094727,141.18450927734375,71
48.54445849105646,0.34933615972296583,137.65050506591797,142.38327026367188,72
49.22011774387012,0.3493337716758196,138.23650360107422,142.383544921875,73
49.89607608551036,0.333709575213214,138.82276153564453,144.1805419921875,74
50.34660941917487,0.33110341976087176,139.21350860595703,144.48028564453125,75
51.24739459113765,0.3311012970522973,139.99475860595703,144.48052978515625,76
52.1481797631004,0.3206830433686523,140.77600860595703,145.67877197265625,77
53.49949826872766,0.3206830433686523,141.94800567626953,145.67877197265625,78
54.40057373278687,0.3206830433686523,142.72950744628906,145.67877197265625,79
55.30164479848098,0.32068516607722675,143.51100540161133,145.67852783203125,80
56.202724660905275,0.31025815622071207,144.29251098632812,146.87777709960938,81
57.553471379069876,0.31025815622071207,145.4640121459961,146.87777709960938,82
58.454823940130225,0.3102605442678583,146.24575424194336,146.87750244140625,83
59.355032926265224,0.29983976986778127,147.02650451660156,148.07603454589844,84
