age,consumption,income,wealth,alpha_mean,alpha_p05,alpha_p95
20,,16.448651124153734,,0.9628903792878654,,
21,15.721472664725958,17.764153977945885,4.323626122174459,0.968147541499476,0.949783935313742,0.9996221461360979
22,17.62380564888297,18.47871862174311,5.780464873419448,0.9684153303773839,0.9497838669081191,0.9996221461360979
23,18.820456997507925,19.677235673494827,7.237161324413444,0.9756149925625405,0.953547132961006,0.9996221461360979
24,19.709550446851665,21.02546218221143,8.85182456035486,0.9861702457921281,0.9655487300171542,0.9996221461360979
25,21.030788672678398,21.714385982801733,10.327502201407038,0.999551731666323,0.9949748941802528,0.9996221461360979
26,22.35090594779581,23.064685258032195,11.677785718345254,0.9996175882272285,0.9996221461360979,0.9996221461360979
27,23.67003414875785,24.36818262386646,13.028020401638786,0.9996175882272285,0.9996221461360979,0.9996221461360979
28,24.33066974624046,24.96924342241831,14.482634009547102,0.9996175882272285,0.9996221461360979,0.9996221461360979
29,24.991305343723127,26.291489435038304,16.296183849276844,0.9996175882272285,0.9996221461360979,0.9996221461360979
30,26.31142261884048,26.97568446293127,18.321664997467433,0.9996175882272285,0.9996221461360979,0.9996221461360979
31,26.97149774096846,27.672004018378562,20.779539281614092,0.9996175882272285,0.9996221461360979,0.9996221461360979
32,27.63213333845107,28.987081396871204,23.48046689350073,0.9996175882272285,0.9996221461360979,0.9996221461360979
33,28.292735966795192,29.65575439831951,26.03874391202106,0.9996175882272285,0.9996221461360979,0.9996221461360979
34,28.292735966795192,30.25687155494096,28.717075403666932,0.9996175882272285,0.9996221461360979,0.9996221461360979
35,28.95228358270697,30.931139846213107,32.815036188875574,0.9995707388106571,0.9996221461360979,0.9996221461360979
36,29.611864167757233,31.60533359350523,36.86659027989214,0.996998122939162,0.9996221461360979,0.9996221461360979
37,29.611864167757233,32.253780144056066,40.433982439034146,0.996998122939162,0.9996221461360979,0.9996221461360979
38,30.2724997652399,32.291616828942715,45.15283775590457,0.9944433657718942,0.9952826460741145,0.9996221461360979
39,30.2724997652399,32.88872170281323,50.206317583820955,0.9917342040510702,0.9562565795464383,0.9996221461360979
40,30.93313536272251,32.91065725974846,56.49682386707744,0.9889903838200531,0.9414142560303123,0.9996221461360979
41,30.93313536272251,33.57175442517024,61.99991768812609,0.9841907157043404,0.9317238856002695,0.9996221461360979
42,30.93313536272251,33.57175442517024,68.06174437868493,0.9763504444631458,0.9114383689801312,0.9996221461360979
43,31.59321048485043,33.60317003220311,74.78280141087463,0.9708350645618082,0.8876392997237229,0.9996221461360979
44,31.59321048485043,34.2044071004856,80.84522726527949,0.9574646021834902,0.8664810213226967,0.9996221461360979
45,31.59321048485043,33.58890690491292,88.22773847858393,0.9439651936608968,0.8579977935091169,0.9996221461360979
46,32.25272513162372,33.57175442517024,95.60973482505605,0.9295868146212515,0.8471799673780434,0.9996221461360979
47,32.25272513162372,34.21993489778917,102.99048499514267,0.9135257498049345,0.8136910063126584,0.9996221461360979
48,32.25272513162372,33.57175442517024,110.3726801276204,0.8921230683739282,0.754458230928262,0.9996221461360979
49,32.91171227218081,33.57175442517024,118.13711504611385,0.8679344610231764,0.7016046941433163,0.9996221461360979
50,32.91171227218081,33.57175442517024,125.13595510367723,0.8462645567184855,0.6575546288885945,0.9996221461360979
51,32.91171227218081,33.57175442517024,132.51808915987732,0.8223175831333771,0.6307565312183678,0.9996221461360979
52,32.91171227218081,33.57175442517024,139.90070834815467,0.7954955600795133,0.6013247091606951,0.9996221461360979
53,33.57178739430873,33.57175442517024,147.28102659082995,0.7711801022886765,0.5713898624459175,0.9996221461360979
54,33.57178739430873,33.539803520134356,154.66266106636488,0.7444245844508323,0.5459532383353786,0.9996221461360979
55,33.57178739430873,32.93868636351289,160.72442452929087,0.7228760454660706,0.5209358690721528,0.9996221461360979
56,34.232422991791395,32.91065725974846,167.44647337326143,0.6962412529331046,0.4915093116600395,0.9996221461360979
57,34.232422991791395,32.91065725974846,174.16737214762225,0.6719210248768609,0.46017914850545816,0.9996221461360979
58,34.232422991791395,32.91065725974846,180.2300154196703,0.6476726472552664,0.44284838849901154,0.9996221461360979
59,34.89253108305786,32.91065725974846,186.82450842255807,0.6236659309370156,0.4169317572932413,0.9996221461360979
60,34.89253108305786,32.91065725974846,192.81847139049228,0.6044918419527479,0.39874288473840885,0.9996221461360979
61,34.89253108305786,32.91065725974846,198.3823249190967,0.5805003801397166,0.38310153857033874,0.9996240345576509
62,35.55316668054047,32.91065725974846,204.37179820996354,0.5588593209975327,0.35775922912097047,0.9805127120422137
63,35.55316668054047,32.91065725974846,210.43594001565347,0.5346959750579384,0.34594068729018923,0.9024197417337001
64,35.55316668054047,32.91065725974846,216.39971902284643,0.5135760751804777,0.3321626604457521,0.839639194212709
65,35.55316668054047,32.35918375331108,221.47597717632732,0.4992105181401609,0.3470244464184528,0.7816586014487117
66,35.55316668054047,22.156813780982173,215.5681039486499,0.5038766427244883,0.3608882349822505,0.7886647567159164
67,35.55316668054047,21.690336288590174,209.9769888303227,0.5066383869231224,0.3681021781805455,0.809097210615808
68,35.55316668054047,21.690336288590174,203.8944874490343,0.511901209079466,0.3701794891844692,0.8387954928103838
69,35.55316668054047,21.690336288590174,197.1724641792987,0.5142920304820043,0.37330880912846015,0.866611639170297
70,35.55316668054047,21.690336288590174,190.44947385845995,0.5169679631484001,0.37837510757420906,0.8871002622213933
71,35.55316668054047,21.690336288590174,184.38805424865217,0.5223017643832228,0.38065959423033213,0.9170170622530409
72,35.55316668054047,21.690336288590174,177.66676543189394,0.5276165649797568,0.38065959423033213,0.9600387460730292
73,35.55316668054047,21.690336288590174,170.28416637779634,0.5304216940087054,0.38065959423033213,0.9890423960103745
74,34.89253108305786,21.690336288590174,163.5641567271273,0.5352089264204116,0.38385127236124367,0.9986252347290642
75,34.89253108305786,21.690336288590174,156.1820322522205,0.5379991865442111,0.38892238666959456,0.9996221461360979
76,34.89253108305786,21.690336288590174,149.45944715874708,0.5433359571700437,0.3911511291092058,0.9996221461360979
77,34.89253108305786,21.690336288590174,142.07729191799498,0.548630328987328,0.3928391670758303,0.9996221461360979
78,34.232422991791395,21.690336288590174,134.4488522139141,0.5514593271295809,0.39720059441195976,0.9996221461360979
79,34.232422991791395,21.690336288590174,126.65389315889352,0.5562434963258228,0.39902775660888334,0.9996221461360979
80,34.232422991791395,21.690336288590174,119.27185799865318,0.5616170127981261,0.40216029095912825,0.9996221461360979
