age,paper_figure3_mean_income,lognormal_model_mean_income,difference
20,16.448651124153734,16.44936706204971,0.0007159378959755713
21,17.764153977945885,17.56716674620648,-0.1969872317394028
22,18.47871862174311,18.686317134555054,0.20759851281194486
23,19.677235673494827,19.800060198021814,0.12282452452698678
24,21.02546218221143,20.901692488436414,-0.12376969377501723
25,21.714385982801733,21.98466687189235,0.27028088909061765
26,23.064685258032195,23.042689113207718,-0.021996144824477426
27,24.36818262386646,24.069807205006942,-0.2983754188595178
28,24.96924342241831,25.06049164523653,0.09124822281822276
29,26.291489435038304,26.009705218361262,-0.28178421667704256
30,26.97568446293127,26.91296121179438,-0.06272325113689092
31,27.672004018378562,27.766369384311293,0.09436536593273104
32,28.987081396871204,28.566669382339114,-0.42041201453209
33,29.65575439831951,29.31125165977948,-0.34450273854002944
34,30.25687155494096,29.998166286179423,-0.2587052687615383
35,30.931139846213107,30.62612031775384,-0.3050195284592654
36,31.60533359350523,31.19446464964374,-0.4108689438614874
37,32.253780144056066,31.703171462037094,-0.5506086820189715
38,32.291616828942715,32.15280351594913,-0.1388133129935838
39,32.88872170281323,32.544476647270535,-0.344245055542693
40,32.91065725974846,32.87981685272933,-0.030840407019134375
41,33.57175442517024,33.160913362761804,-0.4108410624084371
42,33.57175442517024,33.3902690591878,-0.18148536598243936
43,33.60317003220311,33.570749526027775,-0.03242050617533465
44,34.2044071004856,33.70553192621376,-0.4988751742718378
45,33.58890690491292,33.79805478184929,0.20914787693637038
46,33.57175442517024,33.85196960742202,0.28021518225178
47,34.21993489778917,33.871095209925556,-0.34883968786361663
48,33.57175442517024,33.85937533261122,0.28762090744098145
49,33.57175442517024,33.820840184786015,0.24908575961577384
50,33.57175442517024,33.75957227270052,0.18781784753027608
51,33.57175442517024,33.67967682934994,0.10792240417969623
52,33.57175442517024,33.58525703643177,0.013502611261529296
53,33.57175442517024,33.480394141559735,-0.09136028361050563
54,33.539803520134356,33.36913249928543,-0.17067102084892838
55,32.93868636351289,33.25546950617086,0.31678314265796814
56,32.91065725974846,33.14335035827688,0.23269309852841502
57,32.91065725974846,33.03666753386242,0.12601027411395904
58,32.91065725974846,32.939264894474285,0.02860763472582306
59,32.91065725974846,32.854946303480226,-0.055710956268235634
60,32.91065725974846,32.787488681986716,-0.12316857776174572
61,32.91065725974846,32.74065945758797,-0.16999780216049487
62,32.91065725974846,32.71823841130787,-0.19241884844058887
63,32.91065725974846,32.72404399249152,-0.18661326725694494
64,32.91065725974846,32.761964250700444,-0.1486930090480172
65,32.35918375331108,32.83599262877789,0.4768088754668085
66,22.156813780982173,21.58666075885556,-0.5701530221266111
67,21.690336288590174,21.58666075885556,-0.10367552973461258
68,21.690336288590174,21.58666075885556,-0.10367552973461258
69,21.690336288590174,21.58666075885556,-0.10367552973461258
70,21.690336288590174,21.58666075885556,-0.10367552973461258
71,21.690336288590174,21.58666075885556,-0.10367552973461258
72,21.690336288590174,21.58666075885556,-0.10367552973461258
73,21.690336288590174,21.58666075885556,-0.10367552973461258
74,21.690336288590174,21.58666075885556,-0.10367552973461258
75,21.690336288590174,21.58666075885556,-0.10367552973461258
76,21.690336288590174,21.58666075885556,-0.10367552973461258
77,21.690336288590174,21.58666075885556,-0.10367552973461258
78,21.690336288590174,21.58666075885556,-0.10367552973461258
79,21.690336288590174,21.58666075885556,-0.10367552973461258
80,21.690336288590174,21.58666075885556,-0.10367552973461258
81,21.690336288590174,21.58666075885556,-0.10367552973461258
82,21.690336288590174,21.58666075885556,-0.10367552973461258
83,21.690336288590174,21.58666075885556,-0.10367552973461258
84,21.690336288590174,21.58666075885556,-0.10367552973461258
85,21.690336288590174,21.58666075885556,-0.10367552973461258
86,21.690336288590174,21.58666075885556,-0.10367552973461258
87,21.690336288590174,21.58666075885556,-0.10367552973461258
88,21.690336288590174,21.58666075885556,-0.10367552973461258
89,21.690336288590174,21.58666075885556,-0.10367552973461258
90,21.690336288590174,21.58666075885556,-0.10367552973461258
91,21.690336288590174,21.58666075885556,-0.10367552973461258
92,21.690336288590174,21.58666075885556,-0.10367552973461258
93,21.690336288590174,21.58666075885556,-0.10367552973461258
94,21.690336288590174,21.58666075885556,-0.10367552973461258
95,21.690336288590174,21.58666075885556,-0.10367552973461258
96,21.690336288590174,21.58666075885556,-0.10367552973461258
97,21.690336288590174,21.58666075885556,-0.10367552973461258
98,21.690336288590174,21.58666075885556,-0.10367552973461258
99,21.690336288590174,21.58666075885556,-0.10367552973461258
100,21.690336288590174,21.58666075885556,-0.10367552973461258
