age_as_printed,value
20,26.304635379662745
21,23.16328591074328
22,21.09616273895023
23,19.380769117471434
24,17.913318113749618
25,16.424927389718484
26,15.329390594223515
27,14.172183364648138
28,13.035492853366442
29,12.066719833944182
30,11.074585315563667
31,10.141398332702831
32,9.314903404648225
33,8.818965792615277
34,7.9509020007515145
35,7.454475431204916
36,6.958360525749677
37,6.462346752425187
38,6.1318003021488225
39,5.801071672843084
40,5.5116726025779235
41,5.304909475538015
42,5.139481340897697
43,4.891581030298975
44,4.726225018044777
45,4.643715072729151
46,4.561139011351145
47,4.478370172334444
48,4.395554256897702
49,4.312868111193401
50,4.312830695192545
51,4.312830695192545
52,4.312830695192545
53,4.312830695192545
54,4.312830695192545
55,4.395492586429232
56,4.3955320530692035
57,4.4783288770788445
58,4.561097772599453
59,4.643655838422901
60,4.7261495372603335
61,4.8087411120612025
62,4.9743080920153755
63,5.056900246451114
64,5.222070020873601
65,5.470153071679213
66,5.635460344698045
67,5.883548180314244
68,6.131468701957584
69,6.379337343048482
70,6.627578530689504
71,6.875419138255467
72,7.164772326919474
73,7.4541850468349
74,7.784538956994785
75,8.115205552943571
76,8.44626261350226
77,8.777165722483435
78,9.190515394527525
79,9.52117494726203
80,9.93453663949796
81,10.264953427019304
82,10.678479002856559
83,11.091767832000928
84,11.505016080964937
85,11.91839547229999
86,12.331725670311284
87,12.662935036449394
88,13.07606772352188
89,13.406744376983225
90,13.696437351425363
91,13.98578871044198
92,14.151246537725473
93,14.151469408449714
94,13.986222307938206
95,13.608404418121875
96,12.729460189436594
97,11.17653861231816
98,8.037213414328761
99,
