age_as_printed,value,pdf_x_pt,pdf_y_pt,drawing_index
19.142890543088427,30.7696837825196,107.43099975585938,226.96051025390625,331
19.285867055496333,30.273597599156545,107.84950256347656,228.884521484375,332
19.357101178729856,29.77764124832887,108.05801010131836,230.8080291748047,333
19.428504723943668,29.28143310106895,108.26701354980469,232.73251342773438,334
19.57130920787928,28.785346917705894,108.68501281738281,234.65652465820312,335
19.642711449847084,28.28939450119747,108.89401245117188,236.58001708984375,336
19.714113691814894,27.793442084689048,109.10301208496094,238.50350952148438,337
19.856918175750508,26.80126971796294,109.52101135253906,242.35153198242188,339
19.856918175750508,27.297226068790614,109.52101135253906,240.4280242919922,338
19.999894688158413,26.305061570703018,109.93951416015625,244.27601623535156,340
20.14286598758231,25.72646484394712,110.35800170898438,246.52003479003906,341
20.357072713485728,25.147616320758985,110.98500061035156,248.76502990722656,342
20.49987719742135,24.65153800603443,111.40299987792969,250.6890106201172,343
20.71408392332477,24.15545182267138,112.02999877929688,252.61302185058594,344
20.857232464204962,23.659495471843712,112.44900512695312,254.53652954101562,345
21.000036948140576,23.1631574920484,112.86700439453125,256.4615173339844,346
21.214243674044,22.915244232902253,113.49400329589844,257.4230194091797,347
21.428450399947423,22.419287882074585,114.12100219726562,259.3465270996094,348
21.642657125850846,21.923205633030776,114.74800109863281,261.27052307128906,349
21.85686385175427,21.42712338398698,115.375,263.19451904296875,350
22.07141463460227,20.93103720062392,116.00300598144531,265.1185302734375,351
22.214219118537883,20.84827486079884,116.42100524902344,265.43951416015625,352
22.428597872913592,20.352188677435777,117.04850769042969,267.363525390625,353
22.71437886925711,19.938613037465572,117.885009765625,268.967529296875,354
22.928585595160534,19.44279045349252,118.51200866699219,270.89051818847656,355
23.214194563031768,19.194747361810997,119.34800720214844,271.85252380371094,356
23.49988954513914,18.698665112767202,120.18425750732422,273.7765197753906,357
23.785756555718805,18.28534913786774,121.02101135253906,275.3795166015625,358
24.071365523590032,17.78939278704007,121.85700988769531,277.3030242919922,359
