panel,age,RMSE,max_absolute_error
A,99,0.0242960485108792,0.134873475422367
B,20,0.279304614396136,0.550374858787238
B,30,0.287641417928507,0.442829825077376
B,55,0.168595522516548,0.300902913353715
B,75,0.0263974893546317,0.0555352558688795
C,20,9.9842871655024,11.2704757136299
C,35,8.78538120441243,9.73879691298283
C,65,1.77413884949402,2.0828580218629
C,85,1.84738147850967,2.05940900179397
