age,optimal,100_age,no_income,no_income_risk,approximation
20,0.962208320656154,NaN,NaN,0.999364748270131,0.999364748270131
21,0.970121727794192,0.786766262790577,0.161921469957404,0.999364748270131,0.999364748270131
22,0.970121727794192,0.77932283591017,0.161921469957404,0.999364748270131,0.999364748270131
23,0.97565864362032,0.768507236980505,0.161921469957404,0.999364748270131,0.999364748270131
24,0.986865790630562,0.757388829182067,0.161921469957404,0.999364748270131,0.999364748270131
25,0.999228951146094,0.747329512809492,0.161921469957404,0.999364748270131,0.999364748270131
26,0.999364748270131,0.739124590666266,0.161921469957404,0.999364748270131,0.999364748270131
27,0.999364748270131,0.728950449795236,0.161921469957404,0.999364748270131,0.999364748270131
28,0.999364748270131,0.718203733741904,0.161921469957404,0.999364748270131,0.999364748270131
29,0.999364748270131,0.70708299040815,0.161921469957404,0.999364748270131,0.999364748270131
30,0.999364748270131,0.696953655328434,0.161921469957404,0.999364748270131,0.999364748270131
31,0.999364748270131,0.6888215735246,0.161921469957404,0.999364748270131,0.999364748270131
32,0.999364748270131,0.677702702580438,0.161921469957404,0.999364748270131,0.999364748270131
33,0.999364748270131,0.667612798360143,0.161921469957404,0.999364748270131,0.999364748270131
34,0.999364748270131,0.656785586302866,0.161921469957404,0.999364748270131,0.999364748270131
35,0.999364748270131,0.649240050708677,0.161921469957404,0.999364748270131,0.999364748270131
36,0.999364748270131,0.638519841399016,0.161921469957404,0.999364748270131,0.999364748270131
37,0.999268575808071,0.627397271184757,0.161921469957404,0.999364748270131,0.999364748270131
38,0.996795744411227,0.617243045198354,0.161921469957404,0.999364748270131,0.999364748270131
39,0.99402545365653,0.609134677817371,0.161921469957404,0.996684422848857,0.999364748270131
40,0.991004386392756,0.598014806328898,0.161921469957404,0.99404630906987,0.998217353447575
41,0.983588829334413,0.587904409844057,0.161921469957404,0.99404630906987,0.975969736350352
42,0.977933146880265,0.577098345385976,0.161921469957404,0.988617209463068,0.950961774890583
43,0.969489023908991,0.568630874842771,0.161921469957404,0.983093562954346,0.923499796539995
44,0.959598644497776,0.558571747291764,0.161921469957404,0.978155942658027,0.901254248818089
45,0.945713479632148,0.547712959802516,0.161921469957404,0.972458587602659,0.87369027025267
46,0.930881892554366,0.537537383825847,0.161921469957404,0.962570862884138,0.851450693494116
47,0.91161373827951,0.526795645305372,0.161921469957404,0.954154007954032,0.823875646446835
48,0.892131276837449,0.518328458439777,0.161921469957404,0.940433389319663,0.798972924972971
49,0.872350598481522,0.508197848588694,0.161921469957404,0.9305430501417,0.776727467744128
50,0.847482920651108,0.497413129359962,0.161921469957404,0.916719088290091,0.749125005983676
51,0.822479406284013,0.486284633396805,0.161921469957404,0.90014715788196,0.724113900725524
52,0.797753558339104,0.478865829600126,0.161921469957404,0.885311649115015,0.699395622159112
53,0.772675097041904,0.468027447739611,0.161921469957404,0.866008387547612,0.67437264049513
54,0.745253262817209,0.456905734467659,0.161921469957404,0.849455162863116,0.649365714753534
55,0.722999672597934,0.446867482448821,0.161921469957404,0.834619593746293,0.624647808722864
56,0.695435157548751,0.438646048313734,0.161921469957404,0.815255959956164,0.599633309799426
57,0.673181894586342,0.428492446814223,0.161921469957404,0.797948102937806,0.574907461854517
58,0.650888299170006,0.417723335687458,0.161921469957404,0.778538217134111,0.54988717220579
59,0.623491724402809,0.406597609381712,0.161921469957404,0.756680793705953,0.524871962987291
60,0.603723922735875,0.399151469911063,0.161921469957404,0.741841226639685,0.500160319066924
61,0.578879095925779,0.388340811362148,0.161921469957404,0.722435233103087,0.499556627134817
62,0.556787670349766,0.377216367653258,0.161921469957404,0.700657684578015,0.499556627134817
63,0.537009724424438,0.36715679962736,0.161921469957404,0.685826236290143,0.499556627134817
64,0.512444881329345,0.356296784918483,0.161921469957404,0.666478016486796,0.499556627134817
65,0.50009297905607,0.348779109475015,0.161921469957404,0.649182231748268,0.499556627134817
66,0.502219739081036,0.338041333561527,0.161921469957404,0.643105482140703,0.499556627134817
67,0.507636498196584,0.326917390609668,0.161921469957404,0.632152246800298,0.499556627134817
68,0.510108655802888,0.316786407170397,0.161921469957404,0.624736719899737,0.499556627134817
69,0.515540099153652,0.308656543451048,0.161921469957404,0.619079283708809,0.499556627134817
70,0.51844528825978,0.297535676458609,0.161921469957404,0.61092821025723,0.499556627134817
71,0.523390457848762,0.287448784700516,0.161921469957404,0.605991083132901,0.499556627134817
72,0.526283819980393,0.276612102861989,0.161921469957404,0.597779210296024,0.499556627134817
73,0.531631009928956,0.268151205412818,0.161921469957404,0.592080815439029,0.499556627134817
74,0.534103378295152,0.258116302976174,0.161921469957404,0.584670806690515,0.499556627134817
75,0.539522651944726,0.247239427586972,0.161921469957404,0.579127584919097,0.499556627134817
76,0.541995000196139,0.23708038947097,0.161921469957404,0.574174845951619,0.499556627134817
77,0.547443322330956,0.228971774686901,0.161921469957404,0.568623340724319,0.499556627134817
78,0.552858794181509,0.217845298283173,0.161921469957404,0.560449512993779,0.499556627134817
79,0.555322931524278,0.207738406674964,0.161921469957404,0.555505630528526,0.499556627134817
80,0.560809954777328,0.196929526591569,0.161921469957404,0.549965416094684,0.499556627134817
