rule,RMSE,max_absolute_error
optimal,0.271734064139853,0.518186479545573
100_age,0.0024048714426643,0.00387656055184854
no_income,0.000356918618196894,0.000356918618196894
no_income_risk,0.313591482552836,0.498934109993163
approximation,0.000680327951418777,0.00178264655242455
