rule,paper_loss,Bellman,paper_difference,MonteCarlo,MC_SE,MC_minus_Bellman,standardized_difference,solve_seconds
optimal,0,0,0,0,0,0,0,20.7167504166667
100_age,0.637,0.991879161321529,0.354879161321529,0.992913953118446,0.00151307408980703,0.00103479179691668,0.68390028213929,0.881846833333333
no_income,1.531,2.32855062998749,0.797550629987491,2.33198743188385,0.00375372603700513,0.00343680189636153,0.915570785529021,0.848015833333333
no_income_risk,0.152,0.46645226089701,0.31445226089701,0.465312900922643,0.00222897964240563,-0.00113935997436698,-0.511157640335076,5.22481154166667
zero,2.108,5.66688549338479,3.55888549338479,5.67336894737542,0.00484325352210547,0.00648345399063555,1.33865674407584,0.843245666666667
approximation,0.084,4.61778527581325,4.53378527581325,4.62076552287674,0.00393491523072361,0.00298024706348876,0.757385328207112,0.793250083333333
