seed,rule_index,loss,SE,ESS_pairs,max_pair_fraction
731029,1,0,0,47166.9473298969,0.000135332813701959
731029,2,0.995105584880185,0.00262558206763157,47597.9505878205,0.000105712656905463
731029,3,2.32995014093205,0.00645023471410718,48034.6029146375,8.43400542320493e-05
731029,4,0.469141950612695,0.00388835785460784,46354.9575309883,0.00019677988988813
731029,5,5.66951505470421,0.00832153779878372,48155.4223269967,7.81281249294403e-05
731029,6,4.62883682237174,0.00677759853085938,47200.7101259584,0.000145870250095517
731130,1,0,0,47186.4756738125,0.000122453748183053
731130,2,0.993004647538598,0.00260486310605246,47610.4758430867,0.000119991845766719
731130,3,2.33233048133661,0.00643505997717943,47990.3659402038,0.000158485553167601
731130,4,0.460543995108553,0.00387164672765326,46421.891520929,0.000172544765713308
731130,5,5.67584384289084,0.00827741242328816,48103.0402138851,0.000145461491334269
731130,6,4.62329197299538,0.00672399863290559,47232.5515272299,0.000110673685245306
731231,1,0,0,46947.5554163351,0.000115778689320456
731231,2,0.990636185064475,0.0026315299614893,47410.083586776,8.95745415187905e-05
731231,3,2.33367748440163,0.00661761661775651,47857.2563972823,8.73724345720797e-05
731231,4,0.466251888105496,0.00382178388362123,46128.8041080117,0.000149997186968707
731231,5,5.67474264804044,0.00856379379258195,47994.173153064,9.64838144700887e-05
731231,6,4.61018256703976,0.0069423024091521,47049.1200545715,0.000129992773512982
