cash,paper_alpha,computed_alpha
20,1.00061923642527,0.999999998137355
25,0.962165520577723,0.938183454735128
30,0.625499149213048,0.624893919413325
35,0.492983867961236,0.492340282258838
40,0.424724171346599,0.419143065210685
45,0.374711161127034,0.372730249449924
50,0.333108416861238,0.340669986524972
55,0.320684455474007,0.317191970941182
60,0.299839769867781,0.299264150190755
65,0.281440693355449,0.285132139735071
70,0.272620485056913,0.273690104417633
75,0.26517143349438,0.264251193006246
80,0.260759360013474,0.256323162227012
85,0.250343645351168,0.249568769569698
90,0.24497320638975,0.243754916535057
95,0.239923003620377,0.238687819845714
100,0.233505507690111,0.234238397802403
105,0.229502627228158,0.230299743447018
110,0.229502627228158,0.226783564868443
115,0.219082250835938,0.223632588362037
120,0.219082250835938,0.220784651376981
125,0.219082250835938,0.218208932780021
130,0.219082250835938,0.215859619048099
135,0.211267897226775,0.213709885885956
140,0.211267897226775,0.211736043294396
145,0.211267897226775,0.209917217929377
150,0.211267897226775,0.208235020185596
155,0.211267897226775,0.206673278653317
160,0.211267802301243,0.205226199293298
165,0.200845000118123,0.203876110142925
170,0.200845000118123,0.202610006181481
175,0.200845000118123,0.201431746238229
180,0.200845000118123,0.200318690595929
185,0.200845000118123,0.199279352891841
190,0.200845000118123,0.198295121948242
195,0.200845000118123,0.19736856876606
200,0.200845000118123,0.196493515208271
205,0.200845000118123,0.195662720297356
210,0.193381552364749,0.194875253757822
215,0.190420378308755,0.194130605666013
220,0.190420378308755,0.19342157276754
225,0.190420378308755,0.192745975510738
230,0.190420378308755,0.192101771096156
235,0.190420378308755,0.191487034535485
240,0.190420378308755,0.190899955868585
245,0.190420378308755,0.19033914893019
250,0.190420378308755,0.189803116161979
255,0.190420378308755,0.189289450467763
260,0.190420378308755,0.188796786457046
265,0.190420378308755,0.188323851088719
270,0.190420378308755,0.187869979773192
275,0.190420378308755,0.187434273954514
280,0.190420378308755,0.187015202952999
285,0.190420378308755,0.186611738884325
290,0.190420378308755,0.18622292491135
295,0.190420378308755,0.185847863405204
300,NaN,0.185485712867627
