asset_points,solve_nodes,loss_100_age,loss_no_income,loss_zero,loss_approximation
801,5,1.12497364948667,2.29084414108531,5.52276704447024,5.05048602580255
801,9,1.12497409320769,2.29084159574292,5.52278118567598,5.05049736880376
1601,11,1.1249743904497,2.29084232486095,5.52277984476079,5.05049675483733
