Row,computed_loss_percent,paper_table6_percent,difference_percentage_points
100_age,1.1245789193687,0.637,0.487578919368702
no_income_merton,2.29014418699696,1.531,0.759144186996956
zero,5.52132186030018,2.108,3.41332186030018
approximation,5.04903762341379,0.084,4.96503762341379
