20,0.000953178724137249,1.33447482619786e-06,2.59989622106184e-06,0,0.25,0.264696831425635,0.999999998137355
25,2.54433528046327e-06,6.03341576921324e-07,4.33219955383132e-05,4.44089209850063e-16,0.25,0.252012925236606,0.999999998137355
30,2.88000120507448e-06,1.13199034057487e-06,0.000107397491258904,8.88178419700125e-16,0.25,0.243050733316593,0.999999998137355
40,3.11580239897857e-06,1.80067465671563e-06,2.74857611438366e-06,1.77635683940025e-15,0.25,0.232741714913729,0.999999998137355
50,2.96381355435749e-06,1.9932860020333e-06,2.534034068373e-06,1.77635683940025e-15,0.25,0.228770738917926,0.999999998137355
60,2.1523620081787e-06,1.28382604058785e-06,2.26734508995272e-06,3.5527136788005e-15,0.25,0.221549120807256,0.999999998137355
65,4.02983508585031e-06,3.80549010747799e-07,2.46296498094849e-06,3.5527136788005e-15,0.25,0.212911228490362,0.999999998137355
66,3.48269324157435e-06,4.64307328140734e-07,3.33606493536845e-06,1.77635683940025e-15,0.25,0.211492891232441,0.999999998137355
75,3.72818691141141e-06,2.26337604214422e-07,2.56902119367368e-06,1.77635683940025e-15,0.25,0.211801649481901,0.999999998137355
85,3.09130610065544e-06,1.18585706809782e-07,3.68077150309196e-06,1.77635683940025e-15,0.25,0.197656764263961,0.999999998137355
95,8.31109955501397e-06,5.68266458333966e-08,5.53893976869297e-06,4.44089209850063e-16,0.25,0.178777371365785,0.999999998137355
99,2.93620272540096e-07,4.07749387587586e-08,3.69505675886344e-06,0,0.25,0.170051251318928,0.999999998137355
