cash_on_hand_thousand_usd,value
20,1.000619236425266
25,0.9621655205777231
30,0.6254991492130478
35,0.4929838679612362
40,0.424724171346599
45,0.3747111611270344
50,0.33310841686123815
55,0.32068445547400737
60,0.29983976986778127
65,0.2814406933554489
70,0.2726204850569135
75,0.26517143349438027
80,0.2607593600134736
85,0.2503436453511685
90,0.24497320638974962
95,0.23992300362037722
100,0.23350550769011055
105,0.22950262722815773
110,0.22950262722815773
115,0.21908225083593824
120,0.21908225083593824
125,0.21908225083593824
130,0.21908225083593824
135,0.2112678972267752
140,0.2112678972267752
145,0.2112678972267752
150,0.2112678972267752
155,0.2112678972267752
160,0.21126780230124295
165,0.20084500011812345
170,0.20084500011812345
175,0.20084500011812345
180,0.20084500011812345
185,0.20084500011812345
190,0.20084500011812345
195,0.20084500011812345
200,0.20084500011812345
205,0.20084500011812345
210,0.19338155236474902
215,0.19042037830875502
220,0.19042037830875502
225,0.19042037830875502
230,0.19042037830875502
235,0.19042037830875502
240,0.19042037830875502
245,0.19042037830875502
250,0.19042037830875502
255,0.19042037830875502
260,0.19042037830875502
265,0.19042037830875502
270,0.19042037830875502
275,0.19042037830875502
280,0.19042037830875502
285,0.19042037830875502
290,0.19042037830875502
295,0.19042037830875502
300,
