statistic,paper,canonical,difference
wealth_peak,221.475977176327,439.053777241558,217.577800065231
wealth_peak_age,65,66,1
wealth_age50,125.135955103677,335.011068602232,209.875113498555
wealth_age65,221.475977176327,437.023617231752,215.547640055425
income_age50,33.5717544251704,35.2353073767028,1.66355295153237
income_age65,32.359183753311,35.9966089097581,3.63742515644708
consumption_peak,35.5531666805406,48.9220385587718,13.3688718782312
alpha_age65,0.499210518140163,0.381920165125498,-0.117290353014665
