age,consumption,income,wealth,alpha_mean
20,NaN,16.4486511241539,NaN,NaN
21,15.7214726647262,17.7641539779461,4.32362612217472,0.968147541499476
22,17.6238056488832,18.4787186217433,5.78046487341966,0.968415330377384
23,18.8204569975081,19.677235673495,7.23716132441368,0.975614992562541
24,19.7095504468518,21.0254621822116,8.85182456035508,0.986170245792128
25,21.0307886726786,21.7143859828019,10.3275022014072,0.999551731666323
26,22.350905947796,23.0646852580324,11.6777857183454,0.999617588227229
27,23.670034148758,24.3681826238666,13.028020401639,0.999617588227229
28,24.3306697462406,24.9692434224185,14.4826340095473,0.999617588227229
29,24.9913053437233,26.2914894350385,16.2961838492771,0.999617588227229
30,26.3114226188407,26.9756844629315,18.3216649974676,0.999617588227229
31,26.9714977409686,27.6720040183788,20.7795392816143,0.999617588227229
32,27.6321333384512,28.9870813968714,23.480466893501,0.999617588227229
33,28.2927359667954,29.6557543983197,26.0387439120213,0.999617588227229
34,28.2927359667954,30.2568715549411,28.7170754036672,0.999617588227229
35,28.9522835827071,30.9311398462133,32.8150361888758,0.999570738810657
36,29.6118641677574,31.6053335935054,36.8665902798924,0.996998122939162
37,29.6118641677574,32.2537801440562,40.4339824390344,0.996998122939162
38,30.2724997652401,32.2916168289429,45.152837755905,0.994443365771894
39,30.2724997652401,32.8887217028134,50.2063175838212,0.99173420405107
40,30.9331353627227,32.9106572597486,56.4968238670776,0.988990383820054
41,30.9331353627227,33.5717544251704,61.9999176881264,0.98419071570434
42,30.9331353627227,33.5717544251704,68.0617443786852,0.976350444463146
43,31.5932104848506,33.6031700322033,74.7828014108748,0.970835064561808
44,31.5932104848506,34.2044071004858,80.8452272652797,0.95746460218349
45,31.5932104848506,33.5889069049131,88.2277384785841,0.943965193660897
46,32.2527251316239,33.5717544251704,95.6097348250562,0.929586814621252
47,32.2527251316239,34.2199348977893,102.990484995143,0.913525749804935
48,32.2527251316239,33.5717544251704,110.372680127621,0.892123068373929
49,32.911712272181,33.5717544251704,118.137115046114,0.867934461023177
50,32.911712272181,33.5717544251704,125.135955103677,0.846264556718486
51,32.911712272181,33.5717544251704,132.518089159877,0.822317583133378
52,32.911712272181,33.5717544251704,139.900708348155,0.795495560079514
53,33.5717873943089,33.5717544251704,147.28102659083,0.771180102288678
54,33.5717873943089,33.5398035201345,154.662661066365,0.744424584450834
55,33.5717873943089,32.9386863635131,160.724424529291,0.722876045466072
56,34.2324229917916,32.9106572597486,167.446473373262,0.696241252933106
57,34.2324229917916,32.9106572597486,174.167372147622,0.671921024876862
58,34.2324229917916,32.9106572597486,180.23001541967,0.647672647255268
59,34.892531083058,32.9106572597486,186.824508422558,0.623665930937016
60,34.892531083058,32.9106572597486,192.818471390492,0.604491841952749
61,34.892531083058,32.9106572597486,198.382324919097,0.580500380139719
62,35.5531666805406,32.9106572597486,204.371798209964,0.558859320997535
63,35.5531666805406,32.9106572597486,210.435940015654,0.53469597505794
64,35.5531666805406,32.9106572597486,216.399719022847,0.51357607518048
65,35.5531666805406,32.359183753311,221.475977176327,0.499210518140163
66,35.5531666805406,22.1568137809822,215.56810394865,0.50387664272449
67,35.5531666805406,21.6903362885903,209.976988830323,0.506638386923125
68,35.5531666805406,21.6903362885903,203.894487449034,0.511901209079468
69,35.5531666805406,21.6903362885903,197.172464179299,0.514292030482007
70,35.5531666805406,21.6903362885903,190.44947385846,0.516967963148402
71,35.5531666805406,21.6903362885903,184.388054248652,0.522301764383225
72,35.5531666805406,21.6903362885903,177.666765431894,0.527616564979759
73,35.5531666805406,21.6903362885903,170.284166377796,0.530421694008707
74,34.892531083058,21.6903362885903,163.564156727127,0.535208926420413
75,34.892531083058,21.6903362885903,156.18203225222,0.537999186544213
76,34.892531083058,21.6903362885903,149.459447158747,0.543335957170045
77,34.892531083058,21.6903362885903,142.077291917995,0.548630328987331
78,34.2324229917916,21.6903362885903,134.448852213914,0.551459327129583
79,34.2324229917916,21.6903362885903,126.653893158894,0.556243496325825
80,34.2324229917916,21.6903362885903,119.271857998653,0.561617012798128
81,33.5717873943089,21.6903362885903,111.541353726528,0.566998572241054
82,33.5717873943089,21.6903362885903,103.848768238834,0.572368595257041
83,32.911712272181,21.6903362885903,96.4677322110576,0.577144823710921
84,32.911712272181,21.6903362885903,89.0851130796465,0.58508893530722
85,32.2527251316239,21.6903362885903,81.7025034357746,0.590520058312107
86,32.2527251316239,21.6903362885903,73.9874513982565,0.596023626010153
87,31.5932104848506,21.6903362885903,67.6006429892549,0.603726819132665
88,31.5932104848506,21.6903362885903,60.2185402357579,0.606135937903916
89,30.9331353627227,21.6903362885903,52.8357896687527,0.614031995760046
90,30.2724997652401,21.6903362885903,46.1150218386225,0.6220680364042
91,29.6118641677574,21.6903362885903,39.5050878562619,0.627572780343958
92,28.9522835827071,21.6903362885903,33.4951160905506,0.635241032726996
93,28.2927359667954,21.6903362885903,27.9820029950189,0.637633690733321
94,27.6321333384512,21.6903362885903,21.9079486356354,0.64296352057639
95,26.9714977409686,21.6903362885903,18.3098195884333,0.65072597828706
96,26.3114226188407,21.6903362885903,13.610673060714,0.647911543074533
97,26.3114226188407,21.6903362885903,8.43318342040285,0.643103424388056
98,25.6513804658512,21.6903362885903,6.10484438114586,0.642924335197739
99,24.9913053437233,21.6903362885903,2.39315645917783,NaN
100,NaN,21.6903362885903,NaN,NaN
