age,consumption,wealth,income,saving,alpha,cash,wealth_SE,alpha_p05,alpha_p95
20,11.8825240463668,0,16.43029924075,4.54777519438321,0.999999999534339,16.43029924075,0,0.999999999534339,0.999999999534339
21,12.8780699894548,4.83669890527432,17.5521377353098,9.51076665112934,0.999995665513767,22.3888366405841,0.0142389538980055,0.999999999534339,0.999999999534339
22,13.6826872942874,10.0894240600641,18.7030104153129,15.1097471810897,0.999931102305111,28.7924344753771,0.0206595488464396,0.999999999534339,0.999999999534339
23,14.4522926326208,16.0239616476344,19.7975789712194,21.369247986233,0.999488656867416,35.8215406188538,0.0271697576255134,0.999999999534339,0.999999999534339
24,15.2235853567613,22.6720269894305,20.9328435380296,28.3812851706988,0.997059264744053,43.6048705274601,0.0339103098761454,0.999999999534339,0.999999999534339
25,16.0039153702787,30.0582015021099,22.0264310600589,36.0807171918902,0.989451523843884,52.0846325621688,0.0417745207306539,0.911699479718407,0.999999999534339
26,16.7907008858335,38.2466332732517,23.0582116423125,44.5141440297306,0.972132376989805,61.3048449155641,0.0502563794118407,0.807798028074932,0.999999999534339
27,17.5892516650329,47.1091803279993,24.1548812617814,53.6748099247478,0.944430893581109,71.2640615897807,0.0582425550964514,0.730705333743872,0.999999999534339
28,18.3908944662125,56.7356517396356,25.1582860646516,63.5030433380747,0.907321022621777,81.8939378042873,0.0671498619460596,0.669639516181214,0.999999999534339
29,19.2029378516226,67.0173914007875,26.1648975155158,73.9793510646806,0.862680151944447,93.1822889163033,0.076427901202275,0.617341109323655,0.999999999534339
30,20.0106577830292,77.936791078713,27.0675293010285,84.9936625967125,0.814839593496484,105.004320379742,0.0864038737635895,0.57866936247326,0.999999999534339
31,20.8251808576723,89.3297053519617,27.9452041685504,96.4497286628397,0.767221506597192,117.274909520512,0.0977793090379944,0.542615560076902,0.999999999534339
32,21.6503825619853,101.161584455547,28.8050954695455,108.316297363107,0.722104398270753,129.966679925092,0.10931115541297,0.511418836016488,0.999999999534339
33,22.4667462173707,113.550783375787,29.5250834114205,120.609120569836,0.680726688135307,143.075866787207,0.123307805620988,0.485962228207318,0.993719780980559
34,23.2905252633433,126.193118566401,30.352970925472,133.25556422853,0.64377950872357,156.546089491874,0.136368435273789,0.461100215982912,0.919309869906141
35,24.1215275210337,139.263093470901,30.96943324681,146.110999196678,0.610896384536468,170.232526717711,0.153846849247133,0.442678028307493,0.86040092367701
36,24.9519248014919,152.487536023257,31.5471740668818,159.082785288647,0.582109005076644,184.034710090139,0.169628595867688,0.424470890294897,0.807946609517813
