age,C,W,Y,a
20,8.17038817616228,0.0,16.365694619309764,0.387654193546283
21,12.756256232527921,8.479468852897478,17.452093644613893,0.32306141598515
22,15.388215154893123,13.602513895429164,18.52952388297394,0.31319264599428015
23,17.22390321103897,17.292617370903933,19.66816419155183,0.3214193875283821
24,18.716696293995547,20.406324185087477,20.663831169318506,0.33411095562257986
25,20.089911496791448,23.10581544553253,21.85145082231339,0.34865907717744077
26,21.355410488289724,25.731615740188758,22.8748787998289,0.3645329821365729
27,22.565200212174638,28.24916033996872,23.84252205464027,0.378316366741412
28,23.707624491183083,30.63661457103687,24.860806523610105,0.39977494231134153
29,24.822128380564113,33.026449419088195,25.964042494036555,0.4171386017889366
30,25.90392659493354,35.51632348322756,26.851944773620087,0.43470272854736375
31,26.902785735504796,37.894544318239156,27.723437108073004,0.4519298608881897
32,27.82613543550066,40.28821700999228,28.45506607786614,0.4663979262762448
33,28.711691680106608,42.60728661799883,29.263894974199637,0.4799649738414755
34,29.502128928135505,44.961402120146225,29.839152802846797,0.5039466356172047
35,30.178628079482394,47.26269891289129,30.356270595148356,0.5244777359768746
36,30.88519869535696,49.51455690820784,31.080150507186445,0.5459683201494244
37,31.48688230073539,52.02151204662593,31.534205610953293,0.5628826584354635
38,32.01911522674415,54.38755936675634,31.90106769834517,0.5849630714764861
39,32.56699014511406,56.855380795596986,32.58267678665343,0.6080265583473295
40,33.0002221945629,59.532891634846294,32.820907509218515,0.626289910513957
41,33.34617444659483,62.24495364104465,33.05932681070856,0.6501683122179782
42,33.63748786815626,65.00198189896896,33.21886841463913,0.6704436802375378
43,33.91585773600626,67.89797379033344,33.4615392029324,0.689733904228641
44,34.1447455208991,70.97046301985537,33.65656684003421,0.7126544254026895
45,34.28685091793198,74.1240899918393,33.59955928339226,0.7299833513881291
46,34.40161953364036,77.26371813006662,33.704875944521795,0.7499900134053001
47,34.45633755175463,80.66390226865697,33.7453290362729,0.763914465343429
48,34.45587542519576,84.11434440152573,33.66123151426353,0.7729129924204134
49,34.47487819169967,87.80055716151846,33.76017340890232,0.7831889671776365
50,34.41964173085589,91.69500822402723,33.78606779556913,0.7932966306670282
51,34.40828030444857,95.87101535468588,33.58418864214592,0.8011299545339909
52,34.31930116850148,99.79374046274188,33.599221848017436,0.8095813325083333
53,34.219588029548,104.27760776883883,33.48680647897916,0.8146630245211841
54,34.08792289892332,108.96692750895888,33.375151183211244,0.8151829918681309
55,33.96168482003169,113.9337907741385,33.38721908692033,0.8126389822842125
56,33.79350528662324,119.11138508439984,33.166965493953796,0.8031896903994697
57,33.646476696919144,124.3075294559883,32.92414619611389,0.7884511243048701
58,33.5112258120264,129.89008150610908,32.90276176140855,0.7695202206003451
59,33.34207382970785,135.52875975233917,32.7164536053107,0.748371147009842
60,33.2279209249146,141.30217767381794,32.663397986199605,0.7232685281824932
61,33.10932830940344,147.42908766073344,32.72807144224371,0.6936111882179694
62,32.972835965053434,153.8761789634755,32.744452905825014,0.6583065658757596
63,32.91647848884669,160.5563979059199,32.72069057597333,0.6170305387173739
64,32.848835383846875,167.2016371295902,32.61537912897898,0.5742580062219877
65,32.82272300886923,173.99862769522653,32.76757288748547,0.531182617366086
66,32.77228056402097,180.83922886074572,21.471420946461567,0.5316460604095817
67,32.72743267030167,176.475225921791,21.471420946461567,0.5320270949904972
68,32.674820211768775,171.9339107359711,21.471420946461567,0.5312275206209144
69,32.60289028798361,167.08534007872527,21.471420946461567,0.5316558023589535
70,32.52683978169351,162.18930223694485,21.471420946461567,0.5301512915212575
71,32.441448899631354,157.21883575178177,21.471420946461567,0.5304116074694231
72,32.338564899169526,152.01500862150988,21.471420946461567,0.5287328871976813
73,32.23353286873498,146.8566656695436,21.471420946461567,0.5275386029171757
74,32.107055597017826,141.455120420158,21.471420946461567,0.5263128466328959
75,31.967484602719633,135.97981455682302,21.471420946461567,0.5247728646812663
76,31.826291202547935,130.57804110087596,21.471420946461567,0.5216942786269746
77,31.664437274870604,125.03726112652141,21.471420946461567,0.5169699243965417
78,31.483281784654192,119.38773101597516,21.471420946461567,0.515998944341425
79,31.288632330561754,113.74974719661267,21.471420946461567,0.5099134851427648
80,31.073622968630346,108.04472082981425,21.471420946461567,0.502967492160406
81,30.832476115332927,102.27536880291356,21.471420946461567,0.4982026124346934
82,30.579788699466363,96.63843052723645,21.471420946461567,0.48961547668200656
83,30.296716848858125,90.96628388369479,21.471420946461567,0.48184296971958895
84,29.99092194237702,85.35776966579121,21.471420946461567,0.4719655151041882
85,29.667651393048995,79.82648952600705,21.471420946461567,0.4627147015669284
86,29.316301692751434,74.3662225580073,21.471420946461567,0.4559244222173485
87,28.94780693993162,69.08946048688722,21.471420946461567,0.45089037970818663
88,28.55206173320011,63.96758943383782,21.471420946461567,0.4400233399712808
89,28.136948348550224,59.05203284964424,21.471420946461567,0.43059659378710996
90,27.695065786612656,54.31173794093763,21.471420946461567,0.41088955366565616
91,27.237899875431392,49.856628099819794,21.471420946461567,0.3969245844277917
92,26.764725339780224,45.67210390121244,21.471420946461567,0.3837667853711838
93,26.30014071489878,41.86273545180775,21.471420946461567,0.373140479011785
94,25.80462729720783,38.28480606588676,21.471420946461567,0.35937856152152764
95,25.345432092522596,35.145859853168275,21.471420946461567,0.34544136630806044
96,24.896685135866726,32.333315660313026,21.471420946461567,0.3315657725135474
97,24.46012250454653,29.877321207693733,21.471420946461567,0.31745862077374204
98,24.05610125984574,27.732801038531424,21.471420946461567,0.3057704453857175
99,23.720982409626377,25.970543872791186,21.471420946461567,0.3134100127968586
100,45.95339500874213,24.481974062280564,21.471420946461567,0.0
