nr,ny,na,wealth_peak,peak_age,alpha65,C65
3,3,201,186.6437471504111,66,0.5173403186394877,32.97476266988542
5,5,201,185.2491624408402,66,0.5190588080350473,32.89708478344788
7,7,301,183.06970585206025,66,0.5235549036543121,32.85181996199349
9,9,301,183.46549086096567,66,0.5214040125669266,32.87306084079264
