age,C,W,Y,a
20,8.167787097141428,0.0,16.365694619309764,0.43103031152496823
21,12.725317958275593,8.49357978479419,17.452093644613893,0.3268144305571449
22,15.303737552257378,13.649616619808215,18.52952388297394,0.3083440023413832
23,17.107285383638892,17.42903147755633,19.66816419155183,0.3232670772137391
24,18.594874176705492,20.677513223201885,20.663831169318506,0.35633147057370995
25,19.97080538692617,23.537072988260984,21.85145082231339,0.37210221376971103
26,21.24639181880328,26.332492182033953,22.8748787998289,0.3966883685628271
27,22.469555242036574,29.03842301039449,23.84252205464027,0.4233954498185725
28,23.623705846329727,31.633183441645546,24.860806523610105,0.45115408508357413
29,24.742346965889247,34.24942298700906,25.964042494036555,0.4796705917725099
30,25.832846468228126,36.993468056502635,26.851944773620087,0.5115938917507563
31,26.838155816552216,39.66127357579333,27.723437108073004,0.5421353419527957
32,27.767941566532734,42.37315263651249,28.45506607786614,0.5687500927272661
33,28.660167593001663,45.04644082093135,29.263894974199637,0.5905724915883018
34,29.460023136515428,47.78783634012002,29.839152802846797,0.6128659544343108
35,30.14838480025832,50.49324376212586,30.356270595148356,0.6380153523088842
36,30.86404205059148,53.16035024787025,31.080150507186445,0.6584631921450648
37,31.473949152575187,56.129469237460185,31.534205610953293,0.679663775578436
38,32.01325389561914,58.94762280182203,31.90106769834517,0.6956066010434497
39,32.56486580607325,61.92670356052966,32.58267678665343,0.7182123937476425
40,33.0047637539464,65.11383797482294,32.820907509218515,0.7345569379174571
41,33.358639131567514,68.36861084388289,33.05932681070856,0.7538822465148457
42,33.66530723895406,71.656684339632,33.21886841463913,0.7721530361094189
43,33.95900647156003,75.1246853268645,33.4615392029324,0.78354189295591
44,34.20108977625786,78.73524368567382,33.65656684003421,0.7936714545498331
45,34.36309418155175,82.45023082533814,33.59955928339226,0.800592975333601
46,34.48324615469808,86.12222981579534,33.704875944521795,0.806025174854188
47,34.55613440384023,90.02853126879516,33.7453290362729,0.8098586671473851
48,34.5675559576366,93.9783924123832,33.66123151426353,0.8189979606827331
49,34.60185763188284,98.17015960378995,33.76017340890232,0.8267874583425128
50,34.56169847471435,102.55578940266008,33.78606779556913,0.8315152655400517
51,34.57214949361101,107.20586908648396,33.58418864214592,0.8326793171762356
52,34.50339177680727,111.55698343911293,33.599221848017436,0.831993411607573
53,34.42494999209466,116.45486046608977,33.48680647897916,0.8290123339409292
54,34.316301406328144,121.55373682239987,33.375151183211244,0.8250313077362563
55,34.21456895257699,126.91624669741273,33.38721908692033,0.8181859832842039
56,34.07275042424136,132.4297950801676,33.166965493953796,0.8042807721833652
57,33.960718102987514,137.9223784830488,32.92414619611389,0.7850121644879875
58,33.85787251832121,143.77859685704365,32.90276176140855,0.7626342986993622
59,33.72558845677367,149.61600665586408,32.7164536053107,0.7380627754053847
60,33.654764022350264,155.5408839153125,32.663397986199605,0.7086884307238219
61,33.58078228910205,161.7655283639187,32.72807144224371,0.6756621530691612
62,33.495140698658474,168.23540654047207,32.744452905825014,0.639327330079384
63,33.49633848278616,174.8840714274991,32.72069057597333,0.5992359820306253
64,33.49305478919664,181.4144031891705,32.61537912897898,0.5588147698707676
65,33.539976329968944,188.01089286723357,32.76757288748547,0.5161361739656178
66,33.48906675628234,194.5481168181153,21.471420946461567,0.5167131707642556
67,33.44393568812638,189.8800741643961,21.471420946461567,0.5173051666846135
68,33.390771487602606,185.0243173678479,21.471420946461567,0.5168781977474485
69,33.318025446297554,179.84981679204236,21.471420946461567,0.5176820070498481
70,33.24120374074409,174.62638134644325,21.471420946461567,0.5165998966249261
71,33.15469534201082,169.3142681434903,21.471420946461567,0.5171254077185945
72,33.0503439717693,163.75899631028267,21.471420946461567,0.5160263529095561
73,32.943987612904536,158.25141094963007,21.471420946461567,0.5153658766268625
