age,x_n,matlab_cn,python_cn,matlab_a,python_a
20,1.043177266903504,0.7446040253124537,0.521588633451752,0.999999998137355,0.3766047403851931
25,2.5909132432764124,0.7669759673057921,1.0481736910326016,0.986701019707495,0.43764283533397014
30,4.3939622807024445,0.8023965680163857,1.1502653004428778,0.792942128443947,0.9594992644775427
35,6.397062689925244,0.8679565956901124,1.2280738678014769,0.589672017209201,0.8728861325956052
40,8.60819699368084,0.9664097725352538,1.3007279422911495,0.478008369804523,0.740098580301943
45,11.0084069759689,1.0965435781764474,1.3711175684139079,0.415084989881672,0.631876393789978
50,13.478758986262381,1.259875300926546,1.4387281050104943,0.378846494427618,0.5333333333333333
55,15.810289197678113,1.4477614169462172,1.5033005207900816,0.359696405833506,0.45
60,17.69059312382727,1.6524148895914392,1.5659596306126125,0.354897923371088,0.3833333333333333
65,18.740960522379105,1.8493120072035443,1.6330837862934349,0.365234874825848,0.31666666666666665
70,16.601712774892782,1.8363768433057575,1.6165605395817555,0.374296027798763,0.3333333333333333
80,11.49790688797914,1.7607831548571282,1.5310894186697384,0.409657978781475,0.34535363940760694
90,5.849821915037043,1.5644520889557867,1.315147971624971,0.492090341146452,0.36666666666666664
